#It	EnergyValue
1	2.96103
2	2.86134
3	2.78017
4	2.73452
5	2.70765
6	2.66922
7	2.64721
8	2.63796
9	2.62796
10	2.61363
11	2.5999
12	2.57884
13	2.53435
14	2.50567
15	2.48284
16	2.45135
17	2.43307
18	2.41496
19	2.39704
20	2.35938
21	2.32508
22	2.28959
23	2.26633
24	2.24756
25	2.22261
26	2.19294
27	2.17134
28	2.14091
29	2.11383
30	2.08376
31	2.06183
32	2.03194
33	2.00024
34	1.96687
35	1.93544
36	1.91027
37	1.88749
38	1.86464
39	1.83913
40	1.81534
41	1.79361
42	1.76337
43	1.72209
44	1.69365
45	1.66931
46	1.65228
47	1.63319
48	1.61998
49	1.61082
50	1.60257
51	1.59504
52	1.57385
53	1.56162
54	1.5514
55	1.53602
56	1.52557
57	1.51624
58	1.50804
59	1.498
60	1.47394
61	1.45244
62	1.43566
63	1.42673
64	1.42046
65	1.40543
66	1.39055
67	1.38241
68	1.37272
69	1.36734
70	1.35431
71	1.33715
72	1.32822
73	1.32296
74	1.31958
75	1.31312
76	1.29512
77	1.28633


#995s 995873ms 995873687us 
