#It	EnergyValue
1	12.677
2	11.9148
3	11.3071
4	10.0911
5	9.42707
6	8.48751
7	7.65114
8	6.69605
9	5.88513
10	5.0432
11	4.47173
12	4.09512
13	3.69148
14	3.48593
15	3.21541
16	3.05775
17	2.82812
18	2.70687
19	2.59284
20	2.49265
21	2.43089
22	2.3612
23	2.29988
24	2.2368
25	2.17959
26	2.11874
27	2.07249
28	2.02634
29	1.9835
30	1.93672
31	1.89302
32	1.85534
33	1.81931
34	1.78258
35	1.74957
36	1.71609
37	1.68608
38	1.65518
39	1.62255
40	1.58127
41	1.55147
42	1.51933
43	1.49211
44	1.46451
45	1.44062
46	1.41837
47	1.39741
48	1.3745
49	1.35492
50	1.3385
51	1.32914
52	1.31981
53	1.31079
54	1.30425
55	1.29687
56	1.29164
57	1.28636
58	1.28532
59	1.28318
60	1.28175
61	1.28077
62	1.27949
63	1.27853
64	1.27763
65	1.27681
66	1.27613
67	1.27534
68	1.2746
69	1.27391
70	1.27327
71	1.27275
72	1.27258
73	1.27242
74	1.27229
75	1.27225
76	1.27225


#3246s 3246832ms 3246832133us 
