#It	EnergyValue
1	2.7823
2	2.66579
3	2.54927
4	2.43943
5	2.32965
6	2.23393
7	2.1392
8	2.05291
9	1.97112
10	1.90579
11	1.84575
12	1.79147
13	1.73719
14	1.69877
15	1.65831
16	1.6245
17	1.58849
18	1.56236
19	1.53567
20	1.50967
21	1.48304
22	1.46372
23	1.44381
24	1.42384
25	1.40386
26	1.39095
27	1.37515
28	1.35888
29	1.34883
30	1.33546
31	1.32828
32	1.32012
33	1.31543
34	1.31117
35	1.30881
36	1.307
37	1.30289
38	1.29941
39	1.29784
40	1.29638
41	1.2952
42	1.29256
43	1.29099
44	1.2898
45	1.28875
46	1.28771
47	1.28673
48	1.28585
49	1.2848
50	1.284
51	1.28258
52	1.28204
53	1.28132
54	1.28099
55	1.28051
56	1.28023
57	1.2798
58	1.27942
59	1.27924
60	1.27923
61	1.27878
62	1.27855
63	1.27848
64	1.27583
65	1.27574
66	1.2747


#656s 656778ms 656778297us 
