#It	EnergyValue
1	4.42269
2	3.93259
3	3.53004
4	3.20943
5	2.95043
6	2.72863
7	2.49293
8	2.31392
9	2.16112
10	2.04487
11	1.94224
12	1.86686
13	1.80496
14	1.75084
15	1.70957
16	1.67414
17	1.6437
18	1.61495
19	1.58936
20	1.56124
21	1.5417
22	1.52319
23	1.50646
24	1.48807
25	1.47123
26	1.4542
27	1.43774
28	1.4246
29	1.41004
30	1.3955
31	1.38537
32	1.37392
33	1.36163
34	1.3529
35	1.34474
36	1.33559
37	1.32954
38	1.32344
39	1.31497
40	1.31055
41	1.30459
42	1.30107
43	1.29802
44	1.29551
45	1.2925
46	1.2899
47	1.28804
48	1.28609
49	1.28496
50	1.28417
51	1.28314
52	1.28223
53	1.28144
54	1.28069
55	1.28006
56	1.27947
57	1.27892
58	1.2784
59	1.27811
60	1.27793
61	1.27766
62	1.27717
63	1.27674
64	1.27659
65	1.27642
66	1.27628
67	1.27617
68	1.27586
69	1.27549
70	1.2751
71	1.27506
72	1.27497


#1300s 1300350ms 1300350819us 
