#It	EnergyValue
1	7.21059
2	5.52501
3	4.49013
4	3.99814
5	3.57699
6	3.3502
7	3.20886
8	3.07807
9	2.92701
10	2.89009
11	2.86606
12	2.7994
13	2.71681
14	2.69426
15	2.61927
16	2.60457
17	2.55305
18	2.52305
19	2.45506
20	2.3682
21	2.25045
22	2.18448
23	2.14859
24	2.08196
25	2.03608
26	2.02479
27	2.01041
28	1.99335
29	1.94806
30	1.79172
31	1.71879
32	1.67218
33	1.63404
34	1.60441
35	1.58025
36	1.55379
37	1.54074
38	1.50357
39	1.49027
40	1.43897
41	1.40533
42	1.38136
43	1.37367
44	1.36511
45	1.35975
46	1.3548
47	1.33918
48	1.33412
49	1.33261
50	1.33145


#367s 367828ms 367828782us 
