#It	EnergyValue
1	6.69704
2	6.34523
3	6.08272
4	5.87976
5	5.71594
6	5.56734
7	5.4457
8	5.34686
9	5.27039
10	5.19491
11	5.14511
12	5.09909
13	5.05946
14	5.02727
15	5.00144
16	4.97838
17	4.95072
18	4.9295
19	4.90529
20	4.88759
21	4.87214
22	4.84928
23	4.8352
24	4.81929
25	4.80583
26	4.78814
27	4.77558
28	4.76322
29	4.75161
30	4.73973
31	4.7307
32	4.71889
33	4.70944
34	4.70249
35	4.69295
36	4.6862
37	4.67899
38	4.66846
39	4.65828
40	4.64674
41	4.63877
42	4.63166
43	4.61775
44	4.60975
45	4.60291
46	4.59691
47	4.59126
48	4.58409
49	4.57474
50	4.56942
51	4.56736
52	4.56014
53	4.55434
54	4.54666
55	4.54002
56	4.53523
57	4.53425
58	4.53244
59	4.52824
60	4.52562
61	4.52133
62	4.517
63	4.51459
64	4.51048
65	4.50844
66	4.50759
67	4.50681
68	4.50615
69	4.50546
70	4.50501
71	4.50452
72	4.50416
73	4.50383
74	4.50358
75	4.50339
76	4.50327
77	4.50293
78	4.50281
79	4.50274
80	4.50246
81	4.5021
82	4.50192
83	4.50181
84	4.50179
85	4.50175


#3694s 3694727ms 3694727570us 
Initial digital shape size: 11023 pixels.
