#It	EnergyValue
1	12.677
2	12.2749
3	11.8236
4	11.5779
5	11.3287
6	11.1245
7	10.9184
8	10.6371
9	10.2411
10	9.93941
11	9.41241
12	8.90254
13	8.49373
14	8.15991
15	7.85436
16	7.60401
17	7.38415
18	7.22413
19	7.07173
20	6.79241
21	6.49416
22	6.27657
23	5.99982
24	5.66515
25	5.21273
26	4.8484
27	4.54153
28	4.33191
29	4.20908
30	4.08858
31	3.97962
32	3.86306
33	3.7381
34	3.63513
35	3.5409
36	3.45814
37	3.38106
38	3.30715
39	3.23566
40	3.16505
41	3.06738
42	2.98308
43	2.91574
44	2.85499
45	2.80015
46	2.74875
47	2.69412
48	2.64302
49	2.58183
50	2.53242
51	2.48385
52	2.43223
53	2.3851
54	2.31208
55	2.26956
56	2.22759
57	2.18522
58	2.13541
59	2.09405
60	2.05864
61	2.02405
62	1.99149
63	1.96374
64	1.93659
65	1.91163
66	1.88671
67	1.862
68	1.83873
69	1.81832
70	1.79639
71	1.77762
72	1.75664
73	1.73225
74	1.71527
75	1.69884
76	1.68284
77	1.66884
78	1.65448
79	1.63843
80	1.62539
81	1.61047
82	1.5988
83	1.58926
84	1.57831
85	1.56682
86	1.55788
87	1.54765
88	1.54342
89	1.53444
90	1.52848
91	1.52107
92	1.51251
93	1.50627
94	1.49814
95	1.49352
96	1.48629
97	1.48271
98	1.47617
99	1.47113
100	1.46786
101	1.46464
102	1.46182
103	1.45911
104	1.45731
105	1.45624
106	1.45454
107	1.45345
108	1.44806
109	1.44474
110	1.44064
111	1.43481
112	1.43279
113	1.43143
114	1.43057
115	1.42972
116	1.42891
117	1.42818
118	1.42738
119	1.42684
120	1.42634
121	1.42578
122	1.42528
123	1.42469
124	1.42421
125	1.42357
126	1.42311
127	1.42274
128	1.42243
129	1.42198
130	1.42116
131	1.42044
132	1.42023
133	1.41913
134	1.41877
135	1.41858
136	1.41841
137	1.41755
138	1.41575
139	1.41519
140	1.41474
141	1.41414
142	1.41399
143	1.41385
144	1.41374
145	1.41362


#10923s 10923221ms 10923221318us 
Initial digital shape size: 7481 pixels.
