#It	EnergyValue
1	10.0796
2	9.50453
3	9.17901
4	8.95982
5	8.77494
6	8.61171
7	8.4733
8	8.36107
9	8.26436
10	8.18773
11	8.12397
12	8.07053
13	8.02881
14	7.97765
15	7.9367
16	7.89898
17	7.8621
18	7.82569
19	7.79463
20	7.76039
21	7.73112
22	7.70638
23	7.68024
24	7.65919
25	7.63836
26	7.61765
27	7.59672
28	7.5696
29	7.55509
30	7.53631
31	7.52543
32	7.51269
33	7.49567
34	7.48201
35	7.46702
36	7.45596
37	7.44391
38	7.43352
39	7.42365
40	7.41275
41	7.40503
42	7.39748
43	7.3872
44	7.38188
45	7.37149
46	7.36126
47	7.35208
48	7.34295
49	7.33883
50	7.33098
51	7.32101
52	7.3173
53	7.31326
54	7.30275
55	7.29142
56	7.28303
57	7.27698
58	7.27357
59	7.26756
60	7.26066
61	7.25632
62	7.25438
63	7.25246
64	7.25058
65	7.24876
66	7.24753
67	7.24637
68	7.24582
69	7.24528
70	7.24499
71	7.24459
72	7.24424
73	7.24403
74	7.24379
75	7.24335
76	7.24319
77	7.24316


#8918s 8918569ms 8918569455us 
Initial digital shape size: 11527 pixels.
