#It	EnergyValue
1	16.3881
2	15.842
3	15.2605
4	14.9202
5	14.5667
6	14.1342
7	13.749
8	13.336
9	12.9443
10	12.5782
11	12.2438
12	11.8663
13	11.5427
14	11.2035
15	10.8685
16	10.5846
17	10.3198
18	10.0097
19	9.77335
20	9.52551
21	9.26875
22	9.02828
23	8.80578
24	8.58264
25	8.37797
26	8.16747
27	7.97008
28	7.78155
29	7.586
30	7.39828
31	7.26522
32	7.14225
33	7.0171
34	6.91336
35	6.81917
36	6.73142
37	6.65266
38	6.57481
39	6.50033
40	6.42841
41	6.36063
42	6.30127
43	6.24966
44	6.20218
45	6.15686
46	6.11481
47	6.07415
48	6.0316
49	5.99155
50	5.95351
51	5.92151
52	5.88428
53	5.84401
54	5.81619
55	5.78981
56	5.76391
57	5.72984
58	5.70694
59	5.68407
60	5.66156
61	5.63955
62	5.61771
63	5.598
64	5.57756
65	5.55486
66	5.53641
67	5.51402
68	5.49586
69	5.48127
70	5.46542
71	5.44665
72	5.4338
73	5.41873
74	5.40609
75	5.39395
76	5.38047
77	5.36755
78	5.35521
79	5.34345
80	5.32973
81	5.31779
82	5.30713
83	5.29537
84	5.27965
85	5.26963
86	5.2574
87	5.24219
88	5.22992
89	5.21874
90	5.20865
91	5.20151
92	5.19332
93	5.1835
94	5.17709
95	5.1707
96	5.16444
97	5.15753
98	5.12149
99	5.1114
100	5.10556
101	5.09724
102	5.09142
103	5.08565
104	5.07994
105	5.07271
106	5.06648
107	5.06082
108	5.0542
109	5.04614
110	5.03677
111	5.03249
112	5.02908
113	5.02469
114	5.01871
115	5.01593
116	5.01325
117	5.00773
118	5.0052
119	5.00235
120	4.99999
121	4.99851
122	4.99714
123	4.99578
124	4.99444
125	4.99276
126	4.99174
127	4.99074
128	4.98986
129	4.98909
130	4.98748
131	4.98671
132	4.98594
133	4.98534
134	4.98491
135	4.96984
136	4.96885
137	4.96798
138	4.96743
139	4.96703
140	4.96655
141	4.96615
142	4.96514
143	4.96144
144	4.95556
145	4.9537
146	4.95267
147	4.95103
148	4.94907
149	4.94784
150	4.94651
151	4.94595
152	4.9455
153	4.94493
154	4.94457
155	4.9441
156	4.94359
157	4.94322
158	4.94228
159	4.94097
160	4.93969
161	4.9394
162	4.93912
163	4.93886
164	4.93839
165	4.93826
166	4.93743
167	4.93514
168	4.93404
169	4.93277
170	4.93125
171	4.92773
172	4.92271
173	4.92096
174	4.91896
175	4.91499
176	4.91389
177	4.9129
178	4.91188
179	4.90953
180	4.90809
181	4.9072
182	4.90632
183	4.90549
184	4.90494
185	4.90452
186	4.90427
187	4.90405
188	4.90373
189	4.9034
190	4.90318
191	4.90312
192	4.90312
193	4.90201
194	4.90068
195	4.89989
196	4.89927
197	4.89909
198	4.89876
199	4.89858
200	4.89856


#32828s 32828847ms 32828847874us 
Initial digital shape size: 7481 pixels.
