#It	EnergyValue
1	16.3881
2	15.3484
3	15.0019
4	14.6279
5	14.2107
6	13.7791
7	13.307
8	12.8226
9	12.3731
10	11.9346
11	11.5479
12	11.092
13	10.736
14	10.38
15	10.0592
16	9.71479
17	9.37615
18	9.08232
19	8.76024
20	8.53204
21	8.2668
22	8.09516
23	7.92113
24	7.74729
25	7.57338
26	7.45172
27	7.33477
28	7.21839
29	7.12037
30	6.43702
31	6.17356
32	6.01368
33	5.90679
34	5.81443
35	5.72735
36	5.65085
37	5.57783
38	5.51568
39	5.46163
40	5.40216
41	5.35378
42	5.31231
43	5.2721
44	5.23248
45	5.193
46	5.15025
47	5.11311
48	5.07747
49	5.04315
50	5.01123
51	4.98127
52	4.95464
53	4.92884
54	4.90074
55	4.87477
56	4.84178
57	4.817
58	4.79285
59	4.76937
60	4.74573
61	4.7225
62	4.70072
63	4.67786
64	4.65622
65	4.63313
66	4.61325
67	4.58637
68	4.56705
69	4.5481
70	4.53023
71	4.51312
72	4.49573
73	4.47893
74	4.46206
75	4.44364
76	4.42341
77	4.40466
78	4.38683
79	4.36978
80	4.3514
81	4.33665
82	4.32324
83	4.30763
84	4.29117
85	4.2782
86	4.26503
87	4.24702
88	4.23463
89	4.22045
90	4.20823
91	4.19626
92	4.18382
93	4.17047
94	4.15854
95	4.14776
96	4.13722
97	4.12682
98	4.11359
99	4.10254
100	4.09292
101	4.07572
102	4.06531
103	4.04939
104	4.03758
105	4.02786
106	4.00912
107	3.97299
108	3.92162
109	3.86437
110	3.80205
111	3.74503
112	3.69777
113	3.66312
114	3.64078
115	3.62545
116	3.61209
117	3.59954
118	3.58525
119	3.56863
120	3.55861
121	3.54647
122	3.53241
123	3.52501
124	3.51418
125	3.50659
126	3.49923
127	3.4924
128	3.48636
129	3.48133
130	3.47645
131	3.4668
132	3.46063
133	3.45545
134	3.44967
135	3.44486
136	3.44076
137	3.43445
138	3.42863
139	3.42379
140	3.41494
141	3.4107
142	3.4072
143	3.40411
144	3.4003
145	3.3943
146	3.39158
147	3.3889
148	3.38594
149	3.3836
150	3.37887
151	3.37715
152	3.3742
153	3.37287
154	3.37156
155	3.36906
156	3.36802
157	3.36702
158	3.36605
159	3.36501
160	3.36407
161	3.36314
162	3.36222
163	3.36134
164	3.36055
165	3.3598
166	3.35906
167	3.35667
168	3.35524
169	3.35443
170	3.35327
171	3.35101
172	3.34841
173	3.34704
174	3.34579
175	3.34473
176	3.34383
177	3.34307
178	3.34235
179	3.34166
180	3.34106
181	3.34046
182	3.33989
183	3.33935
184	3.33879
185	3.33833
186	3.33724
187	3.33629
188	3.3354
189	3.33494
190	3.33424
191	3.33379
192	3.33334
193	3.33297
194	3.33262
195	3.33227
196	3.33175
197	3.3312
198	3.33085
199	3.33053
200	3.33015
201	3.32983
202	3.32931
203	3.32901
204	3.32817
205	3.32756
206	3.32508
207	3.32464
208	3.32355
209	3.32312
210	3.32278
211	3.32252
212	3.32233
213	3.32216
214	3.32202
215	3.3219
216	3.32181
217	3.32122
218	3.32076
219	3.3203
220	3.32011
221	3.31989
222	3.31956
223	3.31851
224	3.3181
225	3.31789
226	3.31737
227	3.3171
228	3.31673
229	3.315
230	3.3141
231	3.31368
232	3.31318
233	3.31217
234	3.31144
235	3.31078
236	3.30917
237	3.30843
238	3.30786
239	3.30715
240	3.30652
241	3.30628
242	3.30603
243	3.30578
244	3.3056
245	3.30532
246	3.30486
247	3.3043
248	3.30409
249	3.30381
250	3.30305
251	3.30265
252	3.30216
253	3.30182
254	3.3016
255	3.30133
256	3.301
257	3.30081
258	3.30051
259	3.29999
260	3.29938
261	3.29922
262	3.29895
263	3.29866
264	3.29809
265	3.29753
266	3.29678
267	3.29628
268	3.29575
269	3.29562
270	3.29553
271	3.29518
272	3.2951
273	3.29506
274	3.29503


#35440s 35440625ms 35440625647us 
Initial digital shape size: 7481 pixels.
