#It	EnergyValue
1	2.98669
2	2.87982
3	2.77304
4	2.66993
5	2.56713
6	2.47877
7	2.39319
8	2.31732
9	2.248
10	2.18841
11	2.13309
12	2.08084
13	2.03319
14	1.99515
15	1.95649
16	1.91756
17	1.88266
18	1.84848
19	1.81691
20	1.78714
21	1.75829
22	1.72749
23	1.70303
24	1.67815
25	1.6598
26	1.63837
27	1.62264
28	1.6073
29	1.59244
30	1.57713
31	1.5625
32	1.54878
33	1.53534
34	1.52702
35	1.51898
36	1.5079
37	1.50336
38	1.49726
39	1.49124
40	1.48599
41	1.48232
42	1.47673
43	1.47328
44	1.46948
45	1.46619
46	1.46258
47	1.46001
48	1.45885
49	1.45745
50	1.45657
51	1.45538
52	1.45373
53	1.45314
54	1.45271
55	1.45231
56	1.45194
57	1.45142
58	1.45108
59	1.45075
60	1.45042
61	1.45009
62	1.45009
63	1.44984
64	1.44975


#1092s 1092168ms 1092168783us 
Initial digital shape size: 3249 pixels.
