#It	EnergyValue
1	5.82306
2	4.98024
3	4.30473
4	3.75887
5	3.32635
6	2.98442
7	2.7248
8	2.53286
9	2.39442
10	2.28524
11	2.19267
12	2.11708
13	2.05525
14	2.00031
15	1.95898
16	1.9201
17	1.88131
18	1.84618
19	1.81768
20	1.78774
21	1.76198
22	1.73294
23	1.71038
24	1.68889
25	1.66749
26	1.64427
27	1.62753
28	1.61177
29	1.59587
30	1.58313
31	1.56962
32	1.55788
33	1.54715
34	1.53648
35	1.52652
36	1.51645
37	1.50622
38	1.49562
39	1.48438
40	1.47691
41	1.47084
42	1.46465
43	1.45994
44	1.45828
45	1.45688
46	1.45482
47	1.45374
48	1.45302
49	1.45241
50	1.4518
51	1.45129
52	1.45073
53	1.45008
54	1.44966
55	1.44927
56	1.4488
57	1.44846
58	1.44821
59	1.44791
60	1.44771
61	1.4475
62	1.44729
63	1.44717
64	1.44702
65	1.44637
66	1.44627
67	1.44595
68	1.44585
69	1.44576
70	1.44568
71	1.44563


#2092s 2092861ms 2092861969us 
Initial digital shape size: 2080 pixels.
