Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            2.768539            3.106135            
1.000000            2.633295            3.232421            
2.000000            2.547627            3.291050            
3.000000            2.485783            3.189068            
4.000000            2.446281            3.518309            
5.000000            2.411393            4.214225            
6.000000            2.394138            3.609276            
7.000000            2.378861            4.485437            
8.000000            2.365843            3.958817            
9.000000            2.354816            4.084130            
10.000000           2.345002            4.219304            
11.000000           2.337741            3.846943            
12.000000           2.329172            3.587550            
13.000000           2.322557            3.653620            
14.000000           2.317194            3.796967            
15.000000           2.312596            3.957972            
16.000000           2.308236            3.900912            
17.000000           2.304550            3.752145            
18.000000           2.299632            3.679744            
19.000000           2.293505            3.597849            
20.000000           2.288997            3.685747            
21.000000           2.285578            3.787329            
22.000000           2.284948            3.829430            
23.000000           2.283467            3.720179            
24.000000           2.281514            3.729772            
25.000000           2.277936            4.342864            
26.000000           2.276340            3.968495            
27.000000           2.271777            4.090737            
28.000000           2.268666            3.841786            
28.000000           2.268666            3.841786            
29.000000           2.259972            3.879206            
30.000000           2.258277            3.793595            
31.000000           2.248984            3.784954            
32.000000           2.247822            4.372654            
33.000000           2.246789            4.212794            
34.000000           2.244274            4.471539            
35.000000           2.243219            4.378988            
36.000000           2.241576            4.448731            
37.000000           2.241181            4.488291            
37.000000           2.241181            4.488291            
38.000000           2.236007            4.284756            
38.000000           2.236007            4.284756            
39.000000           2.231230            4.288123            
39.000000           2.231230            4.288123            
40.000000           2.227362            4.311894            
41.000000           2.225191            4.210445            
42.000000           2.223118            4.196501            
43.000000           2.221724            4.277130            
44.000000           2.220987            4.293143            
44.000000           2.220987            4.293143            
45.000000           2.218208            4.516705            
46.000000           2.217152            4.661843            
46.000000           2.217152            4.661843            
47.000000           2.215180            4.658072            
48.000000           2.214142            4.725500            
48.000000           2.214142            4.725500            
49.000000           2.211218            4.719877            
49.000000           2.211218            4.719877            
50.000000           2.208961            5.023096            
50.000000           2.208961            5.023096            
51.000000           2.208048            5.083316            
52.000000           2.207914            4.987562            
53.000000           2.207088            4.998255            
53.000000           2.207088            4.998255            
54.000000           2.206000            4.951031            
54.000000           2.206000            4.951031            
55.000000           2.204704            4.992649            
55.000000           2.204704            4.992649            
56.000000           2.204625            5.657505            
57.000000           2.201773            4.845733            
57.000000           2.201773            4.845733            
58.000000           2.200831            4.825362            
58.000000           2.200831            4.825362            
58.000000           2.200831            4.825362            
59.000000           2.188564            4.917016            
59.000000           2.188564            4.917016            
60.000000           2.188178            4.940370            
60.000000           2.188178            4.940370            
60.000000           2.188178            4.940370            
61.000000           2.176436            4.936390            
61.000000           2.176436            4.936390            
61.000000           2.176436            4.936390            
62.000000           2.168881            4.906140            
62.000000           2.168881            4.906140            
63.000000           2.168211            4.764783            
64.000000           2.167883            5.364415            
64.000000           2.167883            5.364415            
65.000000           2.165214            5.355397            
65.000000           2.165214            5.355397            
66.000000           2.164940            5.810758            
66.000000           2.164940            5.810758            
67.000000           2.164299            4.855766            
67.000000           2.164299            4.855766            
68.000000           2.164005            4.895101            
68.000000           2.164005            4.895101            
68.000000           2.164005            4.895101            
69.000000           2.158781            4.916926            
70.000000           2.157949            4.948572            
70.000000           2.157949            4.948572            
71.000000           2.155617            5.418788            
71.000000           2.155617            5.418788            
71.000000           2.155617            5.418788            
72.000000           2.150507            5.419515            
72.000000           2.150507            5.419515            
72.000000           2.150507            5.419515            
73.000000           2.148740            5.395609            
74.000000           2.148515            5.373652            
75.000000           2.148495            5.286293            
75.000000           2.148495            5.286293            
76.000000           2.145629            5.206715            
76.000000           2.145629            5.206715            
77.000000           2.144789            5.119402            
77.000000           2.144789            5.119402            
78.000000           2.144754            5.157072            
78.000000           2.144754            5.157072            
78.000000           2.144754            5.157072            
79.000000           2.141421            5.267424            
79.000000           2.141421            5.267424            
80.000000           2.140517            5.153189            
80.000000           2.140517            5.153189            
80.000000           2.140517            5.153189            
81.000000           2.137128            5.151185            
81.000000           2.137128            5.151185            
81.000000           2.137128            5.151185            
82.000000           2.136755            5.135807            
82.000000           2.136755            5.135807            
83.000000           2.135409            5.657053            
83.000000           2.135409            5.657053            
83.000000           2.135409            5.657053            
84.000000           2.134912            5.788500            
84.000000           2.134912            5.788500            
85.000000           2.134115            5.406433            
85.000000           2.134115            5.406433            
85.000000           2.134115            5.406433            
85.000000           2.134115            5.406433            
85.000000           2.134115            5.406433            
86.000000           2.133428            5.371333            
86.000000           2.133428            5.371333            
86.000000           2.133428            5.371333            
87.000000           2.133369            5.315890            
87.000000           2.133369            5.315890            
88.000000           2.132817            5.225865            
88.000000           2.132817            5.225865            
88.000000           2.132817            5.225865            
88.000000           2.132817            5.225865            
88.000000           2.132817            5.225865            
88.000000           2.132817            5.225865            
88.000000           2.132817            5.225865            
88.000000           2.132817            5.225865            
88.000000           2.132817            5.225865            
88.000000           2.132817            5.225865            


#385s 385516ms 385516513us 
Initial digital shape size: 11527 pixels.
