Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            6.254138            11.375956           
1.000000            6.134551            11.880842           
2.000000            6.045958            12.252469           
3.000000            5.976886            12.362965           
4.000000            5.920370            11.737113           
5.000000            5.857158            11.609921           
6.000000            5.811305            11.997964           
7.000000            5.774779            11.645363           
8.000000            5.739072            11.381683           
9.000000            5.700976            11.818710           
10.000000           5.689517            12.382571           
11.000000           5.684997            12.492845           
12.000000           5.654746            12.408535           
13.000000           5.632246            12.505603           
14.000000           5.617274            12.886619           
15.000000           5.608130            12.551864           
16.000000           5.596589            12.209573           
17.000000           5.588717            12.369893           
18.000000           5.580496            12.941876           
19.000000           5.576827            13.072388           
20.000000           5.572874            13.134892           
20.000000           5.572874            13.134892           
21.000000           5.550329            13.146984           
22.000000           5.547075            13.886685           
23.000000           5.545438            17.057076           
24.000000           5.539965            14.540296           
25.000000           5.531148            13.091526           
26.000000           5.528776            13.938052           
27.000000           5.525589            12.928266           
28.000000           5.523647            12.806249           
29.000000           5.523240            12.644478           
29.000000           5.523240            12.644478           
30.000000           5.503817            12.465798           
31.000000           5.500698            13.304232           
32.000000           5.499509            12.772692           
33.000000           5.497026            13.635198           
34.000000           5.495782            13.744298           
35.000000           5.495582            13.239490           
36.000000           5.484941            14.439361           
37.000000           5.484015            16.064652           
38.000000           5.478332            13.627225           
39.000000           5.477643            14.680655           
40.000000           5.468000            13.449119           
40.000000           5.468000            13.449119           
41.000000           5.455347            13.412515           
42.000000           5.445894            13.849054           
43.000000           5.444740            13.591718           
44.000000           5.437141            16.487720           
45.000000           5.432438            14.856638           
46.000000           5.431615            16.919540           
47.000000           5.430067            17.028935           
48.000000           5.427541            15.180754           
49.000000           5.427356            15.829199           
50.000000           5.424327            15.434187           
51.000000           5.422251            17.105095           
52.000000           5.420789            15.970090           
53.000000           5.420507            16.450387           
54.000000           5.419415            16.165558           
55.000000           5.419317            17.078129           
56.000000           5.419212            18.595833           
56.000000           5.419212            18.595833           
57.000000           5.408763            16.699448           
58.000000           5.407161            19.294338           
59.000000           5.405060            19.180496           
60.000000           5.404213            18.348284           
61.000000           5.402348            18.621821           
62.000000           5.400214            18.104934           
63.000000           5.399426            16.896419           
64.000000           5.398406            16.677134           
65.000000           5.394635            16.361131           
65.000000           5.394635            16.361131           
66.000000           5.386974            16.741544           
66.000000           5.386974            16.741544           
67.000000           5.379516            18.384509           
68.000000           5.378935            19.194580           
68.000000           5.378935            19.194580           
69.000000           5.371591            19.010599           
69.000000           5.371591            19.010599           
70.000000           5.364994            19.114471           
71.000000           5.364727            19.763540           
72.000000           5.364065            18.554709           
72.000000           5.364065            18.554709           
73.000000           5.358191            18.882036           
74.000000           5.356364            18.734669           
74.000000           5.356364            18.734669           
75.000000           5.349985            19.974316           
76.000000           5.349844            20.271230           
76.000000           5.349844            20.271230           
77.000000           5.343745            21.570166           
77.000000           5.343745            21.570166           
78.000000           5.340377            21.129165           
78.000000           5.340377            21.129165           
79.000000           5.337922            20.893378           
80.000000           5.337551            22.001500           
80.000000           5.337551            22.001500           
81.000000           5.336696            21.497899           
82.000000           5.334824            23.667657           
83.000000           5.333041            22.419632           
83.000000           5.333041            22.419632           
84.000000           5.331918            23.388428           
84.000000           5.331918            23.388428           
84.000000           5.331918            23.388428           
85.000000           5.312627            23.622732           
86.000000           5.312572            22.638272           
87.000000           5.312410            23.126885           
87.000000           5.312410            23.126885           
88.000000           5.311852            22.931686           
88.000000           5.311852            22.931686           
88.000000           5.311852            22.931686           
89.000000           5.298581            23.038711           
89.000000           5.298581            23.038711           
89.000000           5.298581            23.038711           
90.000000           5.287316            22.995847           
90.000000           5.287316            22.995847           
91.000000           5.286818            23.725907           
92.000000           5.285914            24.382675           
92.000000           5.285914            24.382675           
92.000000           5.285914            24.382675           
93.000000           5.274414            24.468667           
93.000000           5.274414            24.468667           
93.000000           5.274414            24.468667           
94.000000           5.266582            24.441399           
95.000000           5.266255            25.134035           
95.000000           5.266255            25.134035           
96.000000           5.265786            24.618753           
96.000000           5.265786            24.618753           
96.000000           5.265786            24.618753           
97.000000           5.256526            26.495095           
97.000000           5.256526            26.495095           
97.000000           5.256526            26.495095           
98.000000           5.250091            26.705417           
99.000000           5.249771            27.318506           
99.000000           5.249771            27.318506           
100.000000          5.249014            26.820742           
101.000000          5.248098            26.727907           
101.000000          5.248098            26.727907           
101.000000          5.248098            26.727907           
102.000000          5.243667            27.222299           
102.000000          5.243667            27.222299           
102.000000          5.243667            27.222299           
103.000000          5.240153            27.341928           
104.000000          5.239629            27.083047           
104.000000          5.239629            27.083047           
104.000000          5.239629            27.083047           
105.000000          5.237774            26.477934           
105.000000          5.237774            26.477934           
106.000000          5.234896            27.210615           
106.000000          5.234896            27.210615           
106.000000          5.234896            27.210615           
107.000000          5.234746            27.382893           
107.000000          5.234746            27.382893           
108.000000          5.233849            27.288235           
108.000000          5.233849            27.288235           
108.000000          5.233849            27.288235           
109.000000          5.233525            27.525376           
109.000000          5.233525            27.525376           
110.000000          5.232891            27.202645           
110.000000          5.232891            27.202645           
110.000000          5.232891            27.202645           
110.000000          5.232891            27.202645           
111.000000          5.232099            26.959866           
111.000000          5.232099            26.959866           
111.000000          5.232099            26.959866           
111.000000          5.232099            26.959866           
112.000000          5.231554            28.859829           
112.000000          5.231554            28.859829           
112.000000          5.231554            28.859829           
112.000000          5.231554            28.859829           
113.000000          5.231153            29.095131           
113.000000          5.231153            29.095131           
113.000000          5.231153            29.095131           
113.000000          5.231153            29.095131           
114.000000          5.231064            27.959965           
114.000000          5.231064            27.959965           
114.000000          5.231064            27.959965           
114.000000          5.231064            27.959965           
115.000000          5.230982            25.778956           
116.000000          5.230894            25.640575           
117.000000          5.230073            25.583575           
117.000000          5.230073            25.583575           
117.000000          5.230073            25.583575           
117.000000          5.230073            25.583575           
118.000000          5.229509            25.860749           
118.000000          5.229509            25.860749           
118.000000          5.229509            25.860749           
118.000000          5.229509            25.860749           
118.000000          5.229509            25.860749           
119.000000          5.229077            26.073725           
119.000000          5.229077            26.073725           
119.000000          5.229077            26.073725           
119.000000          5.229077            26.073725           
119.000000          5.229077            26.073725           
119.000000          5.229077            26.073725           
119.000000          5.229077            26.073725           
119.000000          5.229077            26.073725           
119.000000          5.229077            26.073725           
119.000000          5.229077            26.073725           


#687s 687992ms 687992929us 
Initial digital shape size: 11527 pixels.
