Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            0.537961            3.355202            
1.000000            0.524345            3.419849            
2.000000            0.511815            3.484496            
3.000000            0.501262            3.461210            
4.000000            0.491884            3.512988            
5.000000            0.483092            3.971751            
6.000000            0.473631            3.906752            
7.000000            0.465500            4.479884            
8.000000            0.459980            4.458167            
9.000000            0.453204            4.965730            
10.000000           0.448959            4.861121            
11.000000           0.444389            5.128073            
12.000000           0.439155            5.368693            
13.000000           0.435472            5.647785            
14.000000           0.432178            5.890961            
15.000000           0.428316            5.669514            
16.000000           0.424986            5.801591            
17.000000           0.422516            6.312707            
18.000000           0.419829            6.337811            
19.000000           0.415696            6.269586            
20.000000           0.411581            6.677536            
21.000000           0.408628            6.429781            
22.000000           0.405281            6.460501            
23.000000           0.402494            6.209301            
24.000000           0.400209            6.277304            
25.000000           0.397925            6.652184            
26.000000           0.395399            6.504288            
27.000000           0.393425            7.085161            
28.000000           0.389641            7.156828            
29.000000           0.385026            7.434356            
30.000000           0.363935            7.200103            
31.000000           0.361187            7.214182            
32.000000           0.357371            6.546773            
33.000000           0.354529            6.673983            
34.000000           0.351646            6.567730            
35.000000           0.349110            6.389854            
36.000000           0.346473            6.765105            
37.000000           0.343700            6.963048            
38.000000           0.341880            7.342845            
39.000000           0.340294            7.234476            
40.000000           0.338968            7.325348            
41.000000           0.337772            7.158757            
42.000000           0.336415            7.100203            
43.000000           0.335285            7.794988            
44.000000           0.334374            8.240321            
45.000000           0.333476            8.197906            
46.000000           0.332656            8.315442            
47.000000           0.331767            7.910161            
48.000000           0.331020            7.513459            
49.000000           0.330329            7.545420            
50.000000           0.329816            7.931043            
51.000000           0.329080            7.473346            
52.000000           0.328673            7.799686            
53.000000           0.328141            7.255888            
54.000000           0.327681            7.088677            
55.000000           0.327357            7.111452            
56.000000           0.327229            7.538283            
57.000000           0.327076            7.361656            
58.000000           0.327059            7.482210            
59.000000           0.326983            7.525868            
60.000000           0.326805            7.389771            
60.000000           0.326805            7.389771            
61.000000           0.321826            7.950113            
61.000000           0.321826            7.950113            
62.000000           0.317736            7.423362            
63.000000           0.317228            7.999073            
64.000000           0.316290            8.127255            
