Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            7.603500            14.260211           
1.000000            7.325027            14.299835           
2.000000            7.091365            14.330428           
3.000000            6.891327            14.400086           
4.000000            6.717276            15.844503           
5.000000            6.596728            16.831276           
6.000000            6.494953            18.854855           
7.000000            6.421586            18.421660           
8.000000            6.345289            22.075131           
9.000000            6.282844            22.135189           
10.000000           6.228921            22.486347           
11.000000           6.184634            22.630904           
12.000000           6.127632            17.833437           
13.000000           6.075529            17.826059           
14.000000           6.035183            17.734743           
15.000000           5.996065            18.568597           
16.000000           5.947033            18.525363           
17.000000           5.893133            18.286389           
18.000000           5.835087            18.417823           
19.000000           5.771220            18.424163           
20.000000           5.711265            18.654945           
21.000000           5.646580            19.279408           
22.000000           5.568044            18.914542           
23.000000           5.501776            18.599890           
24.000000           5.441560            19.009868           
25.000000           5.154198            20.148281           
26.000000           5.077293            21.561878           
27.000000           5.014787            20.508551           
28.000000           4.773931            24.796098           
29.000000           4.715351            24.455740           
30.000000           4.657288            23.996864           
31.000000           4.603823            24.982618           
32.000000           4.574356            24.054976           
33.000000           4.546405            24.280229           
34.000000           4.338567            28.217088           
35.000000           4.296054            28.766357           
36.000000           4.258677            29.304851           
37.000000           4.206644            29.341579           
38.000000           4.114134            29.510766           
39.000000           4.066676            31.288476           
40.000000           3.985281            28.422892           
41.000000           3.931997            26.724671           
42.000000           3.894894            27.332846           
43.000000           3.862961            28.857854           
44.000000           3.831816            27.903532           
45.000000           3.802026            27.942645           
46.000000           3.772279            28.605313           
47.000000           3.743008            27.210688           
48.000000           3.717086            29.116126           
49.000000           3.697659            29.609734           
50.000000           3.676711            30.668980           
51.000000           3.657546            29.784510           
52.000000           3.640829            30.213094           
53.000000           3.627358            29.842737           
54.000000           3.609108            29.936969           
55.000000           3.589585            28.752049           
56.000000           3.573214            28.448005           
57.000000           3.273484            29.867697           
58.000000           3.090938            30.664545           
59.000000           3.074677            32.765955           
60.000000           3.059787            33.662707           
61.000000           3.044318            32.770309           
62.000000           3.030300            35.429190           
63.000000           3.019141            36.078929           
64.000000           3.007608            37.901588           
65.000000           2.991619            36.911879           
66.000000           2.792547            38.327319           
67.000000           2.697596            38.633393           
68.000000           2.649190            40.250332           
69.000000           2.609601            35.934616           
70.000000           2.589654            38.317019           
71.000000           2.577342            40.861624           
72.000000           2.565098            42.300916           
73.000000           2.554185            42.905398           
74.000000           2.542777            43.690906           
75.000000           2.526842            43.828205           
76.000000           2.514844            43.888103           
77.000000           2.502143            39.834797           
78.000000           2.472345            41.451014           
79.000000           2.455622            41.859550           
80.000000           2.438019            42.151437           
81.000000           2.420204            39.308372           
82.000000           2.407327            39.907591           
83.000000           2.393369            40.977520           
84.000000           2.383878            41.674009           
85.000000           2.375019            41.652579           
86.000000           2.365679            41.427205           
87.000000           2.346882            41.104712           
88.000000           2.331500            41.127724           
89.000000           2.318561            37.967231           
90.000000           2.309098            38.447190           
91.000000           2.291293            38.147189           
92.000000           2.275420            38.678691           
93.000000           2.262747            38.193318           
94.000000           2.252004            38.316708           
95.000000           2.240423            37.316253           
96.000000           2.227853            37.496623           
97.000000           2.215429            37.529452           
98.000000           2.206213            37.221107           
99.000000           2.185532            37.202325           
100.000000          2.161248            37.159180           
101.000000          2.150038            37.128870           
102.000000          2.139546            36.790568           
103.000000          2.130185            37.671833           
104.000000          2.120933            39.768454           
105.000000          2.112448            39.842147           
106.000000          2.107218            39.078385           
107.000000          2.089690            40.969416           
108.000000          2.046741            38.996338           
109.000000          2.041358            36.844623           
110.000000          2.034564            35.269060           
111.000000          2.028585            35.041512           
112.000000          2.022013            35.169797           
113.000000          2.016601            33.598820           
114.000000          2.012662            33.791219           
115.000000          2.007677            33.914434           
116.000000          2.001562            34.760944           
117.000000          1.996744            34.121761           
118.000000          1.995155            34.052868           
119.000000          1.992084            35.762385           
120.000000          1.988863            35.544657           
121.000000          1.985621            35.737994           
122.000000          1.984115            35.659691           
123.000000          1.983141            36.077196           
124.000000          1.982551            35.656047           
125.000000          1.980639            35.234142           
125.000000          1.980639            35.234142           
126.000000          1.904344            35.195368           
127.000000          1.872910            35.878465           
128.000000          1.870511            35.276897           
128.000000          1.870511            35.276897           
129.000000          1.820847            35.866171           
130.000000          1.819634            35.789333           
131.000000          1.814514            35.654285           
132.000000          1.810398            36.720709           
133.000000          1.784330            35.500814           
134.000000          1.761683            35.062553           
135.000000          1.756757            34.860536           
136.000000          1.750620            33.683869           
137.000000          1.744949            33.648349           
138.000000          1.739207            33.727621           
139.000000          1.709696            32.455522           
140.000000          1.700033            33.672471           
141.000000          1.693230            34.951928           
142.000000          1.669728            32.194192           
143.000000          1.656254            33.067023           
144.000000          1.641043            35.573629           
145.000000          1.630337            34.923122           
146.000000          1.619348            31.296719           
147.000000          1.606298            31.620237           
148.000000          1.594130            31.621827           
149.000000          1.586754            30.535228           
150.000000          1.581091            30.429820           
151.000000          1.578210            30.832136           
152.000000          1.575869            32.360936           
153.000000          1.575074            32.458155           
153.000000          1.575074            32.458155           
154.000000          1.549532            32.135863           
155.000000          1.549106            33.907119           
155.000000          1.549106            33.907119           
156.000000          1.525118            33.036564           
157.000000          1.523711            31.891695           
158.000000          1.511806            29.703338           
159.000000          1.508747            29.353816           
160.000000          1.507668            27.699798           
161.000000          1.507100            27.133998           
162.000000          1.504953            27.578308           
163.000000          1.504286            24.414626           
164.000000          1.499885            24.803819           
165.000000          1.499684            24.617137           
166.000000          1.497545            24.284954           
166.000000          1.497545            24.284954           
167.000000          1.480073            24.519867           
167.000000          1.480073            24.519867           
168.000000          1.464517            25.510074           
169.000000          1.463129            24.618238           
170.000000          1.462104            24.507250           
170.000000          1.462104            24.507250           
171.000000          1.446411            23.310267           
171.000000          1.446411            23.310267           
172.000000          1.434787            25.642942           
172.000000          1.434787            25.642942           
173.000000          1.428028            25.116433           
174.000000          1.425226            24.922791           
175.000000          1.424794            24.295324           
176.000000          1.423780            24.269157           
176.000000          1.423780            24.269157           
177.000000          1.416023            24.460373           
177.000000          1.416023            24.460373           
178.000000          1.408302            24.366918           
179.000000          1.407987            23.085009           
179.000000          1.407987            23.085009           
180.000000          1.400547            24.565581           
180.000000          1.400547            24.565581           
181.000000          1.396764            24.579458           
181.000000          1.396764            24.579458           
182.000000          1.394106            24.341672           
182.000000          1.394106            24.341672           
183.000000          1.392125            23.602446           
183.000000          1.392125            23.602446           
184.000000          1.391490            23.720897           
184.000000          1.391490            23.720897           
185.000000          1.389976            24.174508           
185.000000          1.389976            24.174508           
185.000000          1.389976            24.174508           
186.000000          1.378806            23.317191           
187.000000          1.378805            21.347505           
187.000000          1.378805            21.347505           
188.000000          1.377552            21.039872           
188.000000          1.377552            21.039872           
189.000000          1.377515            21.438135           
189.000000          1.377515            21.438135           
189.000000          1.377515            21.438135           
190.000000          1.367536            20.514748           
190.000000          1.367536            20.514748           
191.000000          1.366447            21.014134           
192.000000          1.366294            22.687087           
192.000000          1.366294            22.687087           
193.000000          1.364234            22.426060           
193.000000          1.364234            22.426060           
194.000000          1.362939            21.979241           
194.000000          1.362939            21.979241           
195.000000          1.362456            21.868914           
196.000000          1.361878            22.641026           
196.000000          1.361878            22.641026           
197.000000          1.361541            23.392345           
197.000000          1.361541            23.392345           
197.000000          1.361541            23.392345           
198.000000          1.356119            22.573851           
198.000000          1.356119            22.573851           
199.000000          1.353934            22.273300           
199.000000          1.353934            22.273300           
200.000000          1.349224            22.790339           
200.000000          1.349224            22.790339           
200.000000          1.349224            22.790339           
201.000000          1.348154            23.535709           
201.000000          1.348154            23.535709           
202.000000          1.347223            22.359780           
202.000000          1.347223            22.359780           
