Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            2.872052            2.833611            
1.000000            2.845789            2.852056            
2.000000            2.820141            2.848366            
3.000000            2.798803            3.482509            
4.000000            2.778097            3.509118            
5.000000            2.761323            4.322397            
6.000000            2.744170            4.660331            
7.000000            2.727943            4.242087            
8.000000            2.714120            4.287530            
9.000000            2.699539            4.528836            
10.000000           2.686812            5.124547            
11.000000           2.671950            6.304915            
12.000000           2.659462            5.839038            
13.000000           2.643808            5.983808            
14.000000           2.631783            6.539013            
15.000000           2.614561            6.735716            
16.000000           2.600005            6.868597            
17.000000           2.586195            6.983644            
18.000000           2.572624            7.531784            
19.000000           2.549575            7.484542            
20.000000           2.535954            8.422913            
21.000000           2.517467            7.217591            
22.000000           2.504078            5.783818            
23.000000           2.489414            7.920316            
24.000000           2.467204            7.295903            
25.000000           2.451862            7.159886            
26.000000           2.432551            6.920986            
27.000000           2.419539            6.431366            
28.000000           2.402462            7.651134            
29.000000           2.388953            7.463889            
30.000000           2.374896            7.326550            
31.000000           2.358148            7.320748            
32.000000           2.344213            7.690319            
33.000000           2.331432            7.189710            
34.000000           2.317833            8.403069            
35.000000           2.298388            6.821480            
36.000000           2.283942            5.499498            
37.000000           2.264813            7.382592            
38.000000           2.249963            6.988872            
39.000000           2.230296            6.938747            
40.000000           2.212420            7.319585            
41.000000           2.196889            7.185636            
42.000000           2.185253            7.076769            
43.000000           2.174252            7.060727            
44.000000           2.160664            7.562566            
45.000000           2.147980            7.260469            
46.000000           2.134340            6.290469            
47.000000           2.122307            5.829497            
48.000000           2.107554            5.759658            
49.000000           2.092254            5.777107            
50.000000           2.079335            5.273953            
51.000000           2.066865            5.788440            
52.000000           2.049589            4.916084            
53.000000           2.037748            4.924361            
54.000000           2.025959            4.907051            
55.000000           2.013798            4.237337            
56.000000           2.001869            4.228024            
57.000000           1.989724            4.168590            
58.000000           1.976671            4.192493            
59.000000           1.966593            4.904187            
60.000000           1.957807            3.562608            
61.000000           1.942455            3.525462            
62.000000           1.931778            3.674327            
63.000000           1.916030            3.596425            
64.000000           1.900272            3.536735            
65.000000           1.887998            2.489212            
66.000000           1.874669            2.303016            
67.000000           1.863052            2.110079            
68.000000           1.850712            2.064347            
69.000000           1.839673            2.305821            
70.000000           1.828573            2.427397            
71.000000           1.818702            2.376710            
72.000000           1.807574            2.563741            
73.000000           1.797788            2.201401            
74.000000           1.784538            2.138942            
75.000000           1.773724            2.225322            
76.000000           1.762924            2.126856            
77.000000           1.751798            2.120233            
78.000000           1.743490            3.273159            
79.000000           1.735310            3.242720            
80.000000           1.726348            3.258136            
81.000000           1.720493            3.243267            
82.000000           1.713762            3.341105            
83.000000           1.707111            3.328972            
84.000000           1.700665            3.412701            
85.000000           1.689392            4.167146            
86.000000           1.682934            3.290628            
87.000000           1.675022            3.946043            
88.000000           1.657174            4.836487            
89.000000           1.647800            5.392569            
90.000000           1.639087            4.712606            
91.000000           1.631683            4.680173            
92.000000           1.625891            5.440420            
93.000000           1.619079            5.998654            
94.000000           1.608556            4.040411            
95.000000           1.600037            4.287599            
96.000000           1.592635            4.182364            
97.000000           1.583611            4.949195            
98.000000           1.575056            4.721125            
99.000000           1.568228            5.008518            
100.000000          1.562017            4.730313            
101.000000          1.554407            4.120408            
102.000000          1.541164            4.994958            
103.000000          1.530404            5.000615            
104.000000          1.521255            4.902854            
105.000000          1.511669            6.497993            
106.000000          1.505393            5.702533            
107.000000          1.499417            4.847803            
108.000000          1.491405            5.378109            
109.000000          1.480012            5.957587            
110.000000          1.472872            6.625700            
111.000000          1.463316            6.475213            
112.000000          1.454915            6.603112            
113.000000          1.447948            6.585965            
114.000000          1.442601            6.805723            
115.000000          1.436316            7.712810            
116.000000          1.428231            7.564997            
