Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            1.643925            1.649973            
1.000000            1.632686            2.585683            
2.000000            1.621765            3.575449            
3.000000            1.615044            3.025463            
4.000000            1.607536            2.491847            
5.000000            1.598102            3.194316            
6.000000            1.591285            3.085474            
7.000000            1.585059            5.411004            
8.000000            1.578703            6.926699            
9.000000            1.575264            7.369925            
10.000000           1.571144            8.004417            
11.000000           1.567922            7.982161            
12.000000           1.564577            8.064721            
13.000000           1.561571            7.678548            
14.000000           1.557798            7.015403            
15.000000           1.552864            6.863666            
16.000000           1.547966            6.934762            
17.000000           1.541137            7.927761            
18.000000           1.535829            6.254203            
19.000000           1.530413            5.729377            
20.000000           1.525404            6.358397            
21.000000           1.517352            5.604551            
22.000000           1.509123            5.681716            
23.000000           1.503216            5.679251            
24.000000           1.497815            6.056293            
25.000000           1.492808            5.933281            
26.000000           1.487175            6.988408            
27.000000           1.482374            7.611579            
28.000000           1.478000            7.278771            
29.000000           1.473398            7.917343            
30.000000           1.469341            8.582370            
31.000000           1.466531            8.738758            
32.000000           1.461823            9.175354            
33.000000           1.458841            8.925527            
34.000000           1.451793            9.790221            
35.000000           1.447804            8.997595            
36.000000           1.443049            9.032657            
37.000000           1.439462            9.384586            
38.000000           1.435709            9.480959            
39.000000           1.429133            9.358840            
40.000000           1.425624            10.468325           
41.000000           1.421142            10.437030           
42.000000           1.416795            11.009156           
43.000000           1.413776            11.455356           
44.000000           1.407371            12.830568           
45.000000           1.398530            9.834178            
46.000000           1.393553            9.179694            
47.000000           1.388160            9.415607            
48.000000           1.379753            9.371535            
49.000000           1.375901            9.416437            
50.000000           1.368680            10.536984           
51.000000           1.360811            9.168657            
52.000000           1.354278            8.838676            
53.000000           1.346900            9.790682            
54.000000           1.343859            9.674934            
55.000000           1.339005            9.419222            
56.000000           1.334763            9.236260            
57.000000           1.331294            8.698123            
58.000000           1.328740            7.308815            
59.000000           1.326889            7.836282            
60.000000           1.324523            8.195006            
61.000000           1.323330            7.966949            
62.000000           1.321329            7.970256            
63.000000           1.319443            8.604911            
64.000000           1.317397            9.866830            
65.000000           1.313500            8.548860            
66.000000           1.311758            7.759960            
67.000000           1.309582            8.247788            
68.000000           1.309281            8.150754            
69.000000           1.308793            8.834038            
70.000000           1.307707            8.264318            
70.000000           1.307707            8.264318            
71.000000           1.306468            7.732062            
72.000000           1.304838            8.034398            
73.000000           1.304744            8.544757            
73.000000           1.304744            8.544757            
73.000000           1.304744            8.544757            
74.000000           1.304069            8.494713            
74.000000           1.304069            8.494713            
75.000000           1.303858            8.604145            
75.000000           1.303858            8.604145            
75.000000           1.303858            8.604145            
76.000000           1.303813            8.294748            
76.000000           1.303813            8.294748            
76.000000           1.303813            8.294748            
77.000000           1.302942            8.827316            
77.000000           1.302942            8.827316            
77.000000           1.302942            8.827316            
77.000000           1.302942            8.827316            
78.000000           1.302640            9.969746            
78.000000           1.302640            9.969746            
78.000000           1.302640            9.969746            
78.000000           1.302640            9.969746            
78.000000           1.302640            9.969746            
78.000000           1.302640            9.969746            
78.000000           1.302640            9.969746            
78.000000           1.302640            9.969746            


#595s 595596ms 595596602us 
Initial digital shape size: 10038 pixels.
