Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            3.204042            8.125338            
1.000000            3.121050            10.989406           
2.000000            2.972060            8.789546            
3.000000            2.891031            10.739739           
4.000000            2.804692            13.030334           
5.000000            2.678137            11.163521           
6.000000            2.522820            13.401722           
7.000000            2.410338            14.475624           
8.000000            2.299578            15.673757           
9.000000            2.191109            13.327772           
10.000000           2.070161            13.219252           
11.000000           1.929233            12.367263           
12.000000           1.838376            14.476734           
13.000000           1.760242            11.050537           
14.000000           1.673917            12.078094           
15.000000           1.620171            13.087177           
16.000000           1.544043            14.712244           
17.000000           1.442611            11.025030           
18.000000           1.358196            12.793386           
19.000000           1.293062            12.707633           
20.000000           1.201093            12.452322           
21.000000           1.139967            12.944391           
22.000000           1.079481            10.333927           
23.000000           1.036771            12.416409           
24.000000           0.980058            8.877408            
25.000000           0.952291            10.160824           
26.000000           0.924138            9.833637            
27.000000           0.898178            9.588545            
28.000000           0.877634            10.559104           
29.000000           0.858484            10.696998           
30.000000           0.838619            10.332268           
31.000000           0.819611            10.187059           
32.000000           0.804618            9.549544            
33.000000           0.789763            9.485990            
34.000000           0.776400            10.634562           
35.000000           0.761510            8.860012            
36.000000           0.750370            8.346322            
37.000000           0.737576            7.291729            
38.000000           0.726972            7.356059            
39.000000           0.717200            7.534566            
40.000000           0.707846            7.552649            
41.000000           0.699641            7.499369            
42.000000           0.691430            7.538863            
43.000000           0.682942            7.583057            
44.000000           0.674554            7.523798            
45.000000           0.666542            7.515990            
46.000000           0.658748            8.054299            
47.000000           0.649693            8.301362            
48.000000           0.641699            8.193292            
49.000000           0.633861            8.329512            
50.000000           0.626022            8.172115            
51.000000           0.618084            8.247736            
52.000000           0.610365            8.677211            
53.000000           0.602773            9.509099            
54.000000           0.594262            9.394204            
55.000000           0.586696            9.005068            
56.000000           0.578930            9.490229            
57.000000           0.571124            10.504190           
58.000000           0.560978            11.606305           
59.000000           0.553479            11.862944           
60.000000           0.543236            12.060369           
61.000000           0.534396            11.882035           
62.000000           0.526678            10.693237           
63.000000           0.517083            10.897089           
64.000000           0.508430            10.532253           
65.000000           0.502156            8.017447            
66.000000           0.496259            8.011614            
67.000000           0.490628            8.110845            
68.000000           0.485459            8.768361            
69.000000           0.480889            8.871752            
70.000000           0.476506            8.760113            
71.000000           0.472181            8.745917            
72.000000           0.468499            8.726652            
73.000000           0.464783            8.718478            
74.000000           0.461513            8.835437            
75.000000           0.458384            8.724220            
76.000000           0.455698            9.377270            
77.000000           0.453150            9.637518            
78.000000           0.450736            9.754844            
79.000000           0.448753            9.597598            
80.000000           0.446972            9.702382            
81.000000           0.445432            9.710698            
82.000000           0.443926            9.527412            
83.000000           0.442485            9.837450            
84.000000           0.441129            10.839068           
85.000000           0.439787            11.474989           
86.000000           0.438501            12.365489           
87.000000           0.437235            12.316719           
88.000000           0.436034            12.213427           
89.000000           0.434968            12.624652           
90.000000           0.434009            12.347708           
91.000000           0.433089            12.578624           
92.000000           0.432054            12.743462           
93.000000           0.431182            12.769456           
94.000000           0.430420            12.614048           
95.000000           0.429650            12.346787           
96.000000           0.428944            12.173525           
97.000000           0.428325            12.571191           
98.000000           0.427649            12.495505           
99.000000           0.427076            12.517406           
100.000000          0.426404            12.147232           
101.000000          0.425536            12.250773           
102.000000          0.425049            13.179827           
103.000000          0.424803            13.030313           
104.000000          0.424545            12.440076           
105.000000          0.424091            12.655021           
106.000000          0.423916            13.401687           
107.000000          0.423714            13.206887           
108.000000          0.423402            13.226171           
109.000000          0.423254            12.882055           
110.000000          0.422990            12.858677           
111.000000          0.422882            12.911895           
112.000000          0.422727            13.488551           
113.000000          0.422464            12.430787           
114.000000          0.422337            12.672274           
115.000000          0.422298            12.534567           
116.000000          0.422080            12.263744           
117.000000          0.422069            12.263655           
117.000000          0.422069            12.263655           
118.000000          0.421384            11.905321           
118.000000          0.421384            11.905321           
119.000000          0.421028            11.358621           
120.000000          0.420964            12.207473           
121.000000          0.420686            11.228119           
122.000000          0.420441            10.500178           
123.000000          0.420232            10.711369           
123.000000          0.420232            10.711369           
124.000000          0.420202            10.925176           
125.000000          0.420083            10.541564           
126.000000          0.419967            10.567574           
127.000000          0.419867            10.511023           
128.000000          0.419841            10.648022           
129.000000          0.419715            10.602024           
129.000000          0.419715            10.602024           
130.000000          0.419641            10.511783           
131.000000          0.419583            10.408475           
132.000000          0.419523            11.081463           
133.000000          0.419306            10.398776           
133.000000          0.419306            10.398776           
134.000000          0.419287            10.866309           
135.000000          0.419238            10.866190           
135.000000          0.419238            10.866190           
135.000000          0.419238            10.866190           
136.000000          0.419217            10.907863           
137.000000          0.419130            10.514611           
138.000000          0.419013            10.510944           
139.000000          0.419003            10.459168           
140.000000          0.418853            10.508143           
141.000000          0.418821            10.518937           
142.000000          0.418754            10.810495           
143.000000          0.418628            10.699875           
143.000000          0.418628            10.699875           
143.000000          0.418628            10.699875           
143.000000          0.418628            10.699875           
144.000000          0.418566            11.479995           
144.000000          0.418566            11.479995           
144.000000          0.418566            11.479995           
144.000000          0.418566            11.479995           
145.000000          0.418509            12.296946           
145.000000          0.418509            12.296946           
145.000000          0.418509            12.296946           
146.000000          0.418423            11.641205           
146.000000          0.418423            11.641205           
146.000000          0.418423            11.641205           
147.000000          0.418379            11.508045           
147.000000          0.418379            11.508045           
147.000000          0.418379            11.508045           
147.000000          0.418379            11.508045           
148.000000          0.418280            11.856735           
148.000000          0.418280            11.856735           
148.000000          0.418280            11.856735           
148.000000          0.418280            11.856735           
148.000000          0.418280            11.856735           
149.000000          0.418134            11.306405           
149.000000          0.418134            11.306405           
149.000000          0.418134            11.306405           
149.000000          0.418134            11.306405           
