Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            2.769348            5.236308            
1.000000            2.715095            4.710168            
2.000000            2.656099            4.579446            
3.000000            2.611383            4.567273            
4.000000            2.565907            4.566575            
5.000000            2.509353            4.375364            
6.000000            2.463112            4.185670            
7.000000            2.416245            4.175240            
8.000000            2.369136            4.160451            
9.000000            2.323746            4.139737            
10.000000           2.278577            4.139996            
11.000000           2.227843            4.135109            
12.000000           2.176431            4.119556            
13.000000           2.128227            4.357052            
14.000000           2.078857            4.343309            
15.000000           2.029400            4.409397            
16.000000           1.981253            4.387349            
17.000000           1.932967            4.577970            
18.000000           1.884622            5.040925            
19.000000           1.837856            5.199048            
20.000000           1.794630            5.492663            
21.000000           1.752312            5.497093            
22.000000           1.711601            5.566110            
23.000000           1.670667            6.170222            
24.000000           1.635173            6.138556            
25.000000           1.601360            6.768975            
26.000000           1.568856            6.973630            
27.000000           1.542628            7.305096            
28.000000           1.518086            7.126738            
29.000000           1.499965            6.624296            
30.000000           1.482001            6.120356            
31.000000           1.464902            6.182047            
32.000000           1.450527            6.322246            
33.000000           1.436989            6.460429            
34.000000           1.423659            6.436029            
35.000000           1.410619            6.297638            
36.000000           1.399344            6.323202            
37.000000           1.390220            6.136031            
38.000000           1.381152            6.349529            
39.000000           1.372586            6.368405            
40.000000           1.363613            6.279477            
41.000000           1.358008            5.836393            
42.000000           1.351348            5.648418            
43.000000           1.346749            6.292729            
44.000000           1.341975            6.967097            
45.000000           1.336846            6.741017            
46.000000           1.333956            7.427507            
47.000000           1.330027            7.365852            
48.000000           1.327312            6.778908            
49.000000           1.325504            6.587815            
50.000000           1.323833            6.117060            
51.000000           1.322086            5.880050            
52.000000           1.319824            5.918776            
53.000000           1.318973            5.576652            
54.000000           1.318629            5.334824            
55.000000           1.317582            5.164960            
56.000000           1.316507            5.940565            
57.000000           1.314818            5.663562            
58.000000           1.313289            5.686339            
59.000000           1.311277            5.647373            
60.000000           1.310127            4.916569            
61.000000           1.309284            4.183960            
62.000000           1.308736            4.039029            
63.000000           1.308281            4.937377            
63.000000           1.308281            4.937377            
64.000000           1.306535            5.014383            
65.000000           1.304290            4.561114            
65.000000           1.304290            4.561114            
66.000000           1.302264            4.335908            
67.000000           1.301875            3.863393            
67.000000           1.301875            3.863393            
68.000000           1.301546            3.916722            
69.000000           1.300735            3.708898            
69.000000           1.300735            3.708898            
69.000000           1.300735            3.708898            
69.000000           1.300735            3.708898            
70.000000           1.299941            4.074072            
71.000000           1.299144            4.948710            
71.000000           1.299144            4.948710            
71.000000           1.299144            4.948710            
71.000000           1.299144            4.948710            
72.000000           1.298527            4.879348            
72.000000           1.298527            4.879348            
72.000000           1.298527            4.879348            
72.000000           1.298527            4.879348            
72.000000           1.298527            4.879348            
72.000000           1.298527            4.879348            
72.000000           1.298527            4.879348            
72.000000           1.298527            4.879348            


#357s 357768ms 357768579us 
Initial digital shape size: 12769 pixels.
