Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            3.914612            7.927170            
1.000000            3.728366            6.231620            
2.000000            3.555049            7.016658            
3.000000            3.414873            6.449811            
4.000000            3.248888            6.800270            
5.000000            3.104829            7.024313            
6.000000            2.977679            7.860401            
7.000000            2.866368            8.335063            
8.000000            2.766782            7.543520            
9.000000            2.679766            8.579179            
10.000000           2.606134            8.583483            
11.000000           2.543002            7.023853            
12.000000           2.488084            6.425462            
13.000000           2.439396            6.175287            
14.000000           2.398168            6.572439            
15.000000           2.361398            6.619205            
16.000000           2.326675            6.999989            
17.000000           2.297743            7.422835            
18.000000           2.272253            7.144201            
19.000000           2.246416            6.743972            
20.000000           2.223243            6.623676            
21.000000           2.199562            7.282966            
22.000000           2.176381            6.959623            
23.000000           2.153096            6.956099            
24.000000           2.133280            6.967271            
25.000000           2.114034            7.409772            
26.000000           2.093860            7.021011            
27.000000           2.074757            7.457440            
28.000000           2.054003            7.585748            
29.000000           2.036982            7.623654            
30.000000           2.020166            7.178673            
31.000000           2.001726            7.531198            
32.000000           1.985127            7.282764            
33.000000           1.967704            8.701357            
34.000000           1.953686            8.466273            
35.000000           1.939904            8.719612            
36.000000           1.926978            8.737563            
37.000000           1.914103            8.889876            
38.000000           1.900241            8.459754            
39.000000           1.883040            8.475099            
40.000000           1.868803            7.649752            
41.000000           1.854293            8.434554            
42.000000           1.837798            5.839007            
43.000000           1.818147            5.831102            
44.000000           1.800653            5.839067            
45.000000           1.781738            5.973586            
46.000000           1.765180            5.959900            
47.000000           1.747757            5.817834            
48.000000           1.730598            5.675457            
49.000000           1.713449            5.448356            
50.000000           1.696507            5.742553            
51.000000           1.678261            5.217704            
52.000000           1.662916            5.254945            
53.000000           1.645946            6.543787            
54.000000           1.629630            6.767433            
55.000000           1.615001            6.058836            
56.000000           1.596826            6.357156            
57.000000           1.582102            6.379779            
58.000000           1.567733            6.686655            
59.000000           1.553146            5.232916            
60.000000           1.538106            5.203219            
61.000000           1.524912            5.854907            
62.000000           1.510645            5.911056            
63.000000           1.496971            5.853535            
64.000000           1.484510            6.018388            
65.000000           1.472043            6.817199            
66.000000           1.458455            7.274184            
67.000000           1.447842            7.467008            
68.000000           1.437965            7.175568            
69.000000           1.427448            7.920145            
70.000000           1.418850            8.409131            
71.000000           1.399179            5.382913            
72.000000           1.390389            6.467669            
73.000000           1.381008            5.319398            
74.000000           1.366406            5.436162            
75.000000           1.357708            6.319684            
76.000000           1.346985            5.763309            
77.000000           1.339159            5.507178            
78.000000           1.333304            5.563643            
79.000000           1.329042            5.284686            
80.000000           1.324369            5.738052            
81.000000           1.321051            6.376177            
82.000000           1.318454            6.221664            
83.000000           1.315999            6.201763            
84.000000           1.314972            5.221887            
85.000000           1.309891            4.718359            
85.000000           1.309891            4.718359            
86.000000           1.309732            4.719973            
87.000000           1.309074            4.646987            
88.000000           1.306890            4.676226            
88.000000           1.306890            4.676226            
89.000000           1.306862            4.890800            
90.000000           1.305763            5.613210            
91.000000           1.305227            5.211072            
92.000000           1.304198            5.444385            
93.000000           1.304180            5.843876            
93.000000           1.304180            5.843876            
93.000000           1.304180            5.843876            
94.000000           1.303839            5.758121            
95.000000           1.303792            5.936439            
96.000000           1.303772            5.866162            
97.000000           1.303736            5.853374            
98.000000           1.303412            5.770809            
98.000000           1.303412            5.770809            
98.000000           1.303412            5.770809            
98.000000           1.303412            5.770809            
99.000000           1.303004            5.500706            
99.000000           1.303004            5.500706            
99.000000           1.303004            5.500706            
100.000000          1.302901            5.595799            
101.000000          1.302244            5.581460            
101.000000          1.302244            5.581460            
101.000000          1.302244            5.581460            
102.000000          1.301759            5.824000            
102.000000          1.301759            5.824000            
102.000000          1.301759            5.824000            
102.000000          1.301759            5.824000            
102.000000          1.301759            5.824000            
102.000000          1.301759            5.824000            
102.000000          1.301759            5.824000            
102.000000          1.301759            5.824000            


#940s 940131ms 940131533us 
Initial digital shape size: 8315 pixels.
